"","year","month","day","Temp","Sal","DO_mgl","pH","Turb"
"92",2007,4,2,14.8114583333333,16.2354166666667,10.9822916666667,8.44166666666667,3.47916666666667
"93",2007,4,3,15.6697916666667,16.1635416666667,10.625,8.44583333333333,17.2947368421053
"94",2007,4,4,15.3645833333333,16.2989583333333,9.68541666666667,8.425,23.6914893617021
"95",2007,4,5,13.984375,16.4770833333333,9.75416666666667,8.41875,6.5625
"96",2007,4,6,12.6645833333333,16.5072916666667,9.81494252873563,8.41458333333333,10.75
"97",2007,4,7,10.596875,16.3052083333333,NA,8.39583333333333,13.9270833333333
"98",2007,4,8,10.4333333333333,16.2635416666667,NA,8.39270833333333,4.6875
"99",2007,4,9,10.4239583333333,16.121875,NA,8.45833333333333,5.48958333333333
"100",2007,4,10,11.5854166666667,15.9802083333333,NA,8.38958333333333,8
"101",2007,4,11,11.0770833333333,16.3958333333333,NA,8.36458333333333,43.5425531914894
"102",2007,4,12,12.3510416666667,16.35625,10.2677966101695,8.25729166666667,20.2842105263158
"103",2007,4,13,13.3364583333333,16.43125,10.321875,8.240625,4.26041666666667
"104",2007,4,14,13.3854166666667,16.4072916666667,10.1739583333333,8.2,13.6702127659574
"105",2007,4,15,13.2052083333333,15.9458333333333,9.41979166666667,8.07708333333333,31.9677419354839
"106",2007,4,16,11.4666666666667,15.978125,9.684375,7.984375,18.1770833333333
"107",2007,4,17,10.6291666666667,16.371875,10.246875,7.91770833333333,25.4583333333333
"108",2007,4,18,11.365625,16.5708333333333,10.221875,7.959375,13.6063829787234
"109",2007,4,19,11.5927083333333,16.678125,10.9510416666667,8.09895833333333,5.75
"110",2007,4,20,12.70625,16.6864583333333,11.465625,8.16770833333333,3.85416666666667
"111",2007,4,21,14.065625,16.5385416666667,11.6,8.19166666666667,2.69473684210526
"112",2007,4,22,15.45,16.4885416666667,11.4,8.18541666666667,3.20833333333333
"113",2007,4,23,16.14375,16.3229166666667,10.3416666666667,8.11770833333333,3.97916666666667
"114",2007,4,24,16.296875,16.0677083333333,10.1166666666667,8.06770833333333,4.48958333333333
"115",2007,4,25,18.1625,15.8447916666667,10.0135416666667,8.15520833333333,3.03125
"116",2007,4,26,16.509375,15.8510416666667,9.43958333333333,8.240625,21.6145833333333
"117",2007,4,27,16.1489583333333,15.634375,9.50520833333333,8.25208333333333,4.39583333333333
"118",2007,4,28,17.628125,15.521875,9.61666666666667,8.22291666666667,2.32631578947368
"119",2007,4,29,17.4916666666667,15.159375,10.3572916666667,8.35729166666667,3.27083333333333
"120",2007,4,30,17.6479166666667,14.9229166666667,10.278125,8.37604166666667,4.27083333333333
"121",2007,5,1,18.8135416666667,14.9364583333333,9.64270833333333,8.34479166666667,18.5104166666667
"122",2007,5,2,19.909375,15.171875,9.121875,8.27708333333333,13.875
"123",2007,5,3,17.5114583333333,15.053125,8.86145833333333,8.26354166666667,17.28125
"124",2007,5,4,17.3541666666667,14.9395833333333,9.42916666666667,8.34375,6.27083333333333
"125",2007,5,5,16.8708333333333,15.1302083333333,9.26458333333333,8.33958333333333,5.20833333333333
"126",2007,5,6,15.759375,14.9145833333333,9.05,8.275,21.1770833333333
"127",2007,5,7,15.00625,14.9614583333333,NA,8.271875,21.7083333333333
"128",2007,5,8,14.6885416666667,14.6875,NA,8.26666666666667,10.8229166666667
"129",2007,5,9,16.9541666666667,14.728125,NA,8.32708333333333,2.60416666666667
"130",2007,5,10,18.609375,14.496875,11.1211538461538,8.33229166666667,2.22916666666667
